sampleId	data_type	TF	timepoint	IP_tag	rep	complex	control	peakType	color
An_sntB_kdmB_del_48h_HA_1	TF	sntB_kdmB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#008159
An_sntB_kdmB_del_48h_HA_2	TF	sntB_kdmB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#008159
An_sudA_20h_HA_1	TF	sudA	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,red
An_sudA_20h_HA_2	TF	sudA	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,red
An_sudA_48h_HA_1	TF	sudA	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,red
An_sudA_48h_HA_2	TF	sudA	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,red
An_sudA_ecoA_teton_20h_HA_1	TF	sudA_ecoA_teton	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,red
An_sudA_ecoA_teton_20h_HA_2	TF	sudA_ecoA_teton	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,red
An_sudA_ecoA_teton_48h_HA_1	TF	sudA_ecoA_teton	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,red
An_sudA_ecoA_teton_48h_HA_2	TF	sudA_ecoA_teton	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,red
An_sudA_kdmB_del_20h_HA_1	TF	sudA_kdmB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,red
An_sudA_kdmB_del_20h_HA_2	TF	sudA_kdmB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,red
An_sudA_kdmB_del_48h_HA_1	TF	sudA_kdmB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,red
An_sudA_kdmB_del_48h_HA_2	TF	sudA_kdmB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,red
An_untagged_20h_HA_1	TF	untagged	20h	HA	1	NA	.	.	white,#262626
An_untagged_20h_HA_2	TF	untagged	20h	HA	2	NA	.	.	white,#262626
An_untagged_48h_HA_1	TF	untagged	48h	HA	1	NA	.	.	white,#262626
An_untagged_48h_HA_2	TF	untagged	48h	HA	2	NA	.	.	white,#262626
An_untagged_48h_input_1	TF	untagged	48h	input	1	NA	.	.	white,#262626
An_untagged_20h_MYC_1	TF	untagged	20h	MYC	1	NA	.	.	white,#262626
An_untagged_20h_MYC_2	TF	untagged	20h	MYC	2	NA	.	.	white,#262626
An_untagged_48h_MYC_1	TF	untagged	48h	MYC	1	NA	.	.	white,#262626
An_untagged_48h_MYC_2	TF	untagged	48h	MYC	2	NA	.	.	white,#262626
An_untagged_20h_polII_1	polII	untagged	20h	polII	1	NA	.	.	white,red
An_untagged_20h_polII_2	polII	untagged	20h	polII	2	NA	.	.	white,red
An_untagged_48h_polII_1	polII	untagged	48h	polII	1	NA	.	.	white,red
An_untagged_48h_polII_2	polII	untagged	48h	polII	2	NA	.	.	white,red
